path,category,owner,main_classes,main_functions,used_by,tests,status,notes
BPMN_engine.py,production code,group-owned,TransitionCandidate;BPMNEngine,marking_before;__init__;_default_model_filename;normalize_case_id;initialize_case;getStartActivity;getStartTransitionCandidate;getPossibleNextActivities;get_enabled_transition_alternatives;getPossibleNextTransitionCandidates;get_enabled_transition_alternatives_from_marking;fire_activity;fire_transition_candidate;fire_transition;current_marking_signature;get_marking_signature;is_final_marking;is_deadlocked;can_reach_final_by_silent_path;transition_id,__future__;copy;dataclasses;pathlib;typing;pm4py;pm4py.objects.petri_net.semantics;pm4py.objects.petri_net.obj;pm4py.objects.petri_net.obj,joao/tests/resource_allocation/test_integrated_allocation_engine.py;joao/tests/test_bpmn_engine_transition_api.py;joao/tests/test_full_method_audit_branching.py;joao/tests/test_project_integration_smoke.py,audited,
BatchAllocationEngine.py,production code,group-owned,BatchAllocationEngine,__init__;add_to_buffer;fire_batch;is_authorized;flush,copy,,audited,
Helper.py,production code,group-owned,EventType;Case;Event,__init__;addEvent;getActivityCount;getData;__str__;__init__;__lt__;update;getAttribs;getAttribOfLastEvents;__str__,__future__;pandas;enum;datetime;typing;collections,joao/tests/resource_allocation/test_composite_branching_adapter.py;joao/tests/resource_allocation/test_global_allocation_adapter.py;joao/tests/resource_allocation/test_integrated_allocation_engine.py;joao/tests/resource_allocation/test_resource_engine_waiting_task_allocation.py;joao/tests/test_bpmn_engine_transition_api.py;joao/tests/test_composite_branching_artifact.py;joao/tests/test_project_integration_smoke.py,audited,
SimulationEngineCore.py,production code,group-owned,EventLogger;Engine,__init__;log_event;get_log;to_dataframe;to_csv;to_xes;__init__;train;push_event;pop_event;sample_case_data;push_waiting_processes;check_waiting_processes;run,__future__;enum;heapq;pandas;pm4py;random;copy;typing;collections;datetime;scipy.stats;numpy;pathlib;Helper;joao.src.branching.CompositeBranchingEngine;arrival_engine;BPMN_engine;resources;processTimes,joao/tests/resource_allocation/test_composite_branching_adapter.py;joao/tests/resource_allocation/test_final_evaluation_metrics.py;joao/tests/resource_allocation/test_full_simulation_allocation_comparison_script.py;joao/tests/resource_allocation/test_global_allocation_adapter.py;joao/tests/resource_allocation/test_integrated_allocation_comparison_script.py;joao/tests/resource_allocation/test_integrated_allocation_engine.py;joao/tests/resource_allocation/test_kunkler_allocation_adapter.py;joao/tests/resource_allocation/test_ml_prediction_adapter.py;joao/tests/resource_allocation/test_parksong_ml_integration.py;joao/tests/resource_allocation/test_parksong_ml_integration_layer.py;joao/tests/resource_allocation/test_requested_amount_compatibility.py;joao/tests/resource_allocation/test_resource_engine_waiting_task_allocation.py;joao/tests/resource_allocation/test_simulation_allocation_strategy_plug_in.py;joao/tests/resource_allocation/test_transition_aware_branching_adapter.py;joao/tests/resource_allocation/test_weighted_fairness_adapter.py;joao/tests/test_bpmn_engine_transition_api.py;joao/tests/test_branching_corrected_methodology.py;joao/tests/test_composite_branching_artifact.py;joao/tests/test_composite_branching_engine.py;joao/tests/test_corrected_canonical_reproducibility.py,audited,
arrival_engine.py,production code,group-owned,ArrivalEngine,__init__;train;nextArrivalTime,numpy;scipy.stats;datetime;pandas,joao/tests/resource_allocation/test_full_simulation_allocation_comparison_script.py;joao/tests/resource_allocation/test_integrated_allocation_comparison_script.py;joao/tests/resource_allocation/test_integrated_allocation_engine.py;joao/tests/resource_allocation/test_simulation_allocation_strategy_plug_in.py,audited,
joao/.gitignore,production code,João-owned,,,,,audited,
joao/README.md,documentation,João-owned,,,,,audited,
joao/docs/branching.md,documentation,João-owned,,,,,audited,
joao/docs/experiments.md,documentation,João-owned,,,,,audited,
joao/docs/integration.md,documentation,João-owned,,,,,audited,
joao/docs/parksong.md,documentation,João-owned,,,,,audited,
joao/docs/resource_allocation.md,documentation,João-owned,,,,,audited,
joao/docs/testing.md,documentation,João-owned,,,,,audited,
joao/joao/results/README.md,result artifact,João-owned,,,,,audited,
joao/models/branching/composite_branching_deployment_full.pkl,model artifact,João-owned,,,,,audited,
joao/models/branching/composite_branching_deployment_full_rfopt_v1.pkl,model artifact,João-owned,,,,,audited,
joao/models/branching/composite_branching_evaluation_train70.pkl,model artifact,João-owned,,,,,audited,
joao/models/branching/composite_branching_evaluation_train70_rfopt_v1.pkl,model artifact,João-owned,,,,,audited,
joao/models/branching/final_composite_branching.pkl,model artifact,João-owned,,,,,audited,
joao/models/branching/final_composite_branching_sklearn190.pkl,model artifact,João-owned,,,,,audited,
joao/models/branching/transition_aware_branching_v1_20260715.pkl,model artifact,João-owned,,,,,audited,
joao/models/process_time/final_process_time_coverage_v2.pkl,model artifact,João-owned,,,,,audited,
joao/results/advanced_parksong_resource_allocation_results.csv,result artifact,João-owned,,,,,audited,
joao/results/basic_1_1_resource_allocation_results.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/README.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_artifacts.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_artifacts_metadata.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_attribute_rules.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_confusion_matrix.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_coverage.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_dataset_metadata.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_feature_parity_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_final_core_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_method_metrics_aggregated.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_method_metrics_by_seed.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_per_decision_point_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/branching_split_manifest.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/datasets/branching_common_dataset_filtered.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/branching_split_summary.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/failures.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_appendix_table.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_artifact_hashes.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_case_classification.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_case_completion.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_environment.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_evaluation_report.md,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_failures.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_method_inventory.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_paired_comparisons.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_report_table.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_resource_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_run_config.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/final_strategy_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_aggregated_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_case_completion.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_config.json,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_method_diagnostics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_raw_metrics.csv,result artifact,João-owned,,,,,audited,
joao/results/branching_corrected_20260717/generative_rf_composite_smoke/fixed_replay_report_table.csv,result artifact,João-owned,,,,,audited,
