canonical_method,aliases,source_path,owner,implemented,artifact_available,adapter_available,tested_unit,tested_integration,evaluated_fixed_replay_final,evaluated_generative_final,reported_main_table,reported_appendix,final_role,notes
Random,RandomAllocation;random,joao/src/resource_allocation/RandomResourceAllocation.py;resources/allocation.py,Joao wrapper plus group baseline,True,True,False,True,True,False,False,False,True,experimental,Uses the same global allocation lifecycle as the other final methods.
RoundRobin,R-RRA,joao/src/resource_allocation/RoundRobinResourceAllocation.py,Joao,True,True,False,True,True,True,True,True,True,baseline,Deterministic resource-id rotation over currently available eligible resources.
ShortestQueue,R-SHQ,joao/src/resource_allocation/ShortestQueueAllocation.py,Joao,True,True,False,True,True,True,True,True,True,baseline,Uses ResourceEngine cumulative load as the current queue/load proxy.
ParkSong-NoPrediction,plain ParkSong,joao/src/resource_allocation/ParkSongAllocation.py,Joao,True,True,False,True,True,False,False,False,True,ablation,Same cost heuristic with strategic idling disabled; no reservations expected.
ParkSong-Composite,ParkSong;prediction-aware ParkSong,joao/src/resource_allocation/ParkSongAllocation.py;joao/src/resource_allocation/integration/CompositeBranchingAdapter.py,Joao,True,True,True,True,True,True,True,True,True,primary,Consumes current CompositeBranchingAdapter predictions and creates reservations.
ParkSongML,MLPredictionAdapter;ParkSongMLIntegration,joao/src/resource_allocation/ParkSongMLIntegration.py;joao/src/resource_allocation/MLPredictionAdapter.py,Joao,True,False,True,True,True,False,False,False,True,integration_layer,"Repository evidence shows it as an integration layer/prediction supplier, not a separate simulator strategy."
Batch,BatchAllocation;BatchAllocationEngine,BatchAllocationEngine.py;joao/src/resource_allocation/BatchAllocationAdapter.py,group implementation with Joao adapter,True,True,True,True,True,True,True,True,True,group_owned_reference,Adapter preserves group engine assignment rule but fires per integrated decision epoch.
Kunkler-Rinderle-Ma,Künstler;Kunkler;AnticipatoryAssignmentAllocator,resourceAllocation_KunklerRinderleMa.py;joao/src/resource_allocation/KunklerAllocationAdapter.py;notebooks/2.3.1_formalization_kunkler.ipynb,group/reference implementation with Joao adapter,True,True,True,True,True,True,True,True,True,group_owned_reference,Adapter invokes the original allocator and enforces integrated eligibility/assignment semantics; root class cost-matrix limitations are diagnosed.
RL-REINFORCE,RLAllocation;rl_policy.json,optimization/rl_agent.py;results/rl_policy.json,group creative/experimental,True,True,True,False,True,False,False,False,True,experimental,Uses current state only; no retraining is performed.
RL-Sim,rl_policy_sim.json,optimization/rl_agent.py;results/rl_policy_sim.json,group creative/experimental,True,True,True,False,True,False,False,False,True,experimental,Uses current state only; no retraining is performed.
PPO,MaskablePPO;PPOAllocation,optimization/ppo_agent.py;results/ppo_model.zip,group creative/experimental,True,True,True,False,False,False,False,False,True,experimental,Artifact exists but requires optional sb3_contrib stack; not included by default to avoid dependency-driven failure.
