canonical_method,aliases,source_path,owner,allocation_type,required_inputs,required_artifacts,simulator_path,tests_available,fairly_comparable,distinct_method,final_group,status,notes
Random,RandomAllocation;random,joao/src/resource_allocation/RandomResourceAllocation.py;resources/allocation.py,Joao wrapper plus group baseline,pull/global baseline,"eligible resources,current waiting tasks,seed",none,IntegratedAllocationEngine,joao/tests/resource_allocation/test_random_resource_allocation.py,yes,yes,primary,included,Uses the same global allocation lifecycle as the other final methods.
RoundRobin,R-RRA,joao/src/resource_allocation/RoundRobinResourceAllocation.py,Joao,pull/global deterministic rotation,"eligible resources,current waiting tasks",none,IntegratedAllocationEngine,joao/tests/resource_allocation/test_round_robin_resource_allocation.py,yes,yes,primary,included,Deterministic resource-id rotation over currently available eligible resources.
ShortestQueue,R-SHQ,joao/src/resource_allocation/ShortestQueueAllocation.py,Joao,pull/global load-balancing,"eligible resources,current waiting tasks,resource loads",none,IntegratedAllocationEngine,joao/tests/resource_allocation/test_shortest_queue_allocation.py,yes,yes,primary,included,Uses ResourceEngine cumulative load as the current queue/load proxy.
ParkSong-NoPrediction,plain ParkSong,joao/src/resource_allocation/ParkSongAllocation.py,Joao,pull/global cost heuristic,"eligible resources,current waiting tasks",none,IntegratedAllocationEngine,joao/tests/resource_allocation/test_park_song_allocation.py,yes,yes,ablation,included,Same cost heuristic with strategic idling disabled; no reservations expected.
ParkSong-Composite,ParkSong;prediction-aware ParkSong,joao/src/resource_allocation/ParkSongAllocation.py;joao/src/resource_allocation/integration/CompositeBranchingAdapter.py,Joao,"prediction-aware,reservation-based","eligible resources,current waiting tasks,Composite predictions",joao/models/branching/final_composite_branching_sklearn190.pkl,IntegratedAllocationEngine,joao/tests/resource_allocation/test_integrated_allocation_engine.py,yes,yes,primary,included,Consumes current CompositeBranchingAdapter predictions and creates reservations.
ParkSongML,MLPredictionAdapter;ParkSongMLIntegration,joao/src/resource_allocation/ParkSongMLIntegration.py;joao/src/resource_allocation/MLPredictionAdapter.py,Joao,prediction supplier plus ParkSong allocator,"event,possible activities,ML prediction model",branching model if configured,not separate from ParkSong-Composite in final IntegratedAllocationEngine,joao/tests/resource_allocation/test_parksong_ml_integration.py,no as separate final strategy,no,documented variant,excluded,"Repository evidence shows it as an integration layer/prediction supplier, not a separate simulator strategy."
Batch,BatchAllocation;BatchAllocationEngine,BatchAllocationEngine.py;joao/src/resource_allocation/BatchAllocationAdapter.py,group implementation with Joao adapter,batch/current-queue snapshot,"eligible resources,current waiting tasks,k_limit",none,IntegratedAllocationEngine via BatchAllocationAdapter,joao/tests/resource_allocation/test_batch_allocation_adapter.py,yes with noted decision-epoch limitation,yes,primary,included,Adapter preserves group engine assignment rule but fires per integrated decision epoch.
Kunkler-Rinderle-Ma,Künstler;Kunkler;AnticipatoryAssignmentAllocator,resourceAllocation_KunklerRinderleMa.py;joao/src/resource_allocation/KunklerAllocationAdapter.py;notebooks/2.3.1_formalization_kunkler.ipynb,group/reference implementation with Joao adapter,anticipatory assignment/cost matrix,"eligible resources,current waiting tasks,processing-time quantile shim",none identified,IntegratedAllocationEngine via KunklerAllocationAdapter,joao/tests/resource_allocation/test_kunkler_allocation_adapter.py,yes with implementation limitations noted,yes,primary,included,Adapter invokes the original allocator and enforces integrated eligibility/assignment semantics; root class cost-matrix limitations are diagnosed.
RL-REINFORCE,RLAllocation;rl_policy.json,optimization/rl_agent.py;results/rl_policy.json,group creative/experimental,experimental policy-gradient pick strategy,"current activity,candidates,load,busy fraction",results/rl_policy.json,IntegratedAllocationEngine via PickInterfaceAllocationAdapter,none found,yes if artifact loads,yes,creative appendix,included,Uses current state only; no retraining is performed.
RL-Sim,rl_policy_sim.json,optimization/rl_agent.py;results/rl_policy_sim.json,group creative/experimental,experimental sim-trained policy-gradient pick strategy,"current activity,candidates,load,busy fraction",results/rl_policy_sim.json,IntegratedAllocationEngine via PickInterfaceAllocationAdapter,none found,yes if artifact loads,yes,creative appendix,included,Uses current state only; no retraining is performed.
PPO,MaskablePPO;PPOAllocation,optimization/ppo_agent.py;results/ppo_model.zip,group creative/experimental,experimental PPO pick strategy,Gym-style observation and action mask,results/ppo_model.zip plus sb3_contrib runtime,group Engine path; adapter possible only if dependencies load,none found,not in default run,yes,creative appendix,excluded,Artifact exists but requires optional sb3_contrib stack; not included by default to avoid dependency-driven failure.
